source_market,source_stock_code,target_market,target_stock_code,relationship_type_code
KOSPI,051910,KOSPI,373220,INVEST
KOSPI,032830,KOSPI,029780,INVEST
KOSPI,005490,KOSPI,047050,INVEST
KOSPI,009540,KOSPI,329180,INVEST
KOSPI,034730,KOSPI,326030,INVEST
KOSPI,005490,KOSPI,003670,INVEST
KOSPI,267250,KOSPI,443060,INVEST
KOSPI,034730,KOSPI,096770,INVEST
KOSPI,006260,KOSPI,010120,INVEST
KOSPI,034020,KOSPI,241560,INVEST
KOSPI,035720,KOSPI,377300,INVEST
KOSPI,028260,KOSPI,207940,INVEST
KOSPI,066570,KOSPI,011070,INVEST
KOSPI,000880,KOSPI,009830,INVEST
KOSPI,267250,KOSPI,267260,INVEST
KOSPI,005380,KOSPI,000270,INVEST
KOSPI,267250,KOSPI,009540,INVEST
KOSPI,005380,KOSPI,064350,INVEST
KOSPI,005380,KOSPI,307950,INVEST
KOSPI,003550,KOSPI,051910,INVEST
KOSPI,005930,KOSPI,207940,INVEST
KOSPI,000150,KOSPI,034020,INVEST
KOSPI,032830,KOSPI,016360,INVEST
KOSPI,035720,KOSPI,323410,INVEST
KOSPI,180640,KOSPI,003490,INVEST
KOSPI,005930,KOSPI,009150,INVEST
KOSPI,005930,KOSPI,018260,INVEST
KOSPI,005380,KOSPI,000720,INVEST
KOSPI,012330,KOSPI,307950,INVEST
KOSPI,005930,KOSPI,006400,INVEST
KOSPI,028260,KOSPI,018260,INVEST
KOSPI,000270,KOSPI,307950,INVEST
KOSPI,032830,KOSPI,000810,INVEST
KOSPI,005930,KOSPI,010140,INVEST
KOSPI,006400,KOSPI,028050,INVEST
KOSPI,012330,KOSPI,000720,INVEST
KOSPI,032830,KOSPI,005930,INVEST
KOSPI,028260,KOSPI,028050,INVEST
KOSPI,000270,KOSPI,000720,INVEST
KOSPI,028260,KOSPI,005930,INVEST
KOSPI,005380,KOSPI,030200,INVEST
KOSPI,012330,KOSPI,030200,INVEST
KOSPI,032830,KOSPI,010140,INVEST
KOSPI,000810,KOSPI,005930,INVEST
KOSPI,066570,NASDAQ,MAR,PARTNER
KOSPI,064400,NASDAQ,HON,PARTNER
KOSPI,373220,NASDAQ,ADI,PARTNER
KOSPI,272210,NASDAQ,HON,PARTNER
KOSPI,017670,NASDAQ,GEHC,PARTNER
KOSPI,001440,KOSPI,009830,PARTNER
KOSPI,307950,NASDAQ,MSFT,PARTNER
KOSPI,001440,KOSPI,086790,PARTNER
KOSPI,030200,KOSPI,128940,PARTNER
KOSPI,030200,KOSPI,267270,PARTNER
KOSPI,021240,NASDAQ,MAR,PARTNER
KOSPI,018260,KOSPI,024110,PARTNER
KOSPI,034020,KOSPI,066970,PARTNER
KOSPI,024110,KOSPI,047040,PARTNER
KOSPI,003670,KOSPI,316140,PARTNER
KOSPI,064400,KOSPI,272210,COMPETE
KOSPI,012330,NASDAQ,QCOM,PARTNER
KOSPI,010130,KOSPI,051910,PARTNER
KOSPI,000880,KOSPI,010130,PARTNER
KOSPI,018260,NASDAQ,WDAY,PARTNER
KOSPI,267250,NASDAQ,PLTR,PARTNER
KOSPI,024110,KOSPI,267270,PARTNER
KOSPI,030200,NASDAQ,PLTR,PARTNER
KOSPI,010120,NASDAQ,MSFT,PARTNER
KOSPI,017670,KOSPI,272210,PARTNER
KOSPI,267250,KOSPI,307950,PARTNER
KOSPI,402340,NASDAQ,CMCSA,PARTNER
KOSPI,003490,KOSPI,064400,PARTNER
KOSPI,009150,NASDAQ,TSLA,SUPPLY
KOSPI,032640,NASDAQ,NVDA,PARTNER
KOSPI,017670,KOSPI,086790,PARTNER
KOSPI,055550,KOSPI,079550,PARTNER
KOSPI,000720,KOSPI,090430,PARTNER
KOSPI,017670,NASDAQ,CMCSA,PARTNER
KOSPI,032640,KOSPI,175330,PARTNER
KOSPI,024110,KOSPI,066570,PARTNER
KOSPI,373220,NASDAQ,QCOM,PARTNER
KOSPI,047810,KOSPI,267250,PARTNER
KOSPI,018260,NASDAQ,AMZN,PARTNER
KOSPI,000880,KOSPI,064350,PARTNER
KOSPI,079550,KOSPI,329180,PARTNER
KOSPI,064400,NASDAQ,GOOGL,PARTNER
KOSPI,005830,KOSPI,377300,PARTNER
KOSPI,011070,NASDAQ,MSFT,PARTNER
KOSPI,042660,KOSPI,298040,PARTNER
KOSPI,064400,NASDAQ,MSFT,PARTNER
KOSPI,030200,KOSPI,055550,PARTNER
KOSPI,015760,KOSPI,267260,PARTNER
KOSPI,010120,KOSPI,032640,PARTNER
KOSPI,298040,NASDAQ,LIN,PARTNER
KOSPI,010120,KOSPI,086280,PARTNER
KOSPI,032640,KOSPI,055550,PARTNER
KOSPI,012330,KOSPI,267270,PARTNER
KOSPI,035420,NASDAQ,INTC,PARTNER
KOSPI,010950,KOSPI,028260,PARTNER
KOSPI,030200,NASDAQ,AMD,PARTNER
KOSPI,015760,KOSPI,032640,PARTNER
KOSPI,021240,KOSPI,030200,PARTNER
KOSPI,005380,KOSPI,010120,PARTNER
KOSPI,011070,NASDAQ,AAPL,SUPPLY
KOSPI,035720,KOSPI,352820,COMPETE
KOSPI,000720,KOSPI,316140,PARTNER
KOSPI,017670,NASDAQ,AMZN,PARTNER
KOSPI,009830,NASDAQ,MSFT,PARTNER
KOSPI,055550,KOSPI,064400,PARTNER
KOSPI,047810,KOSPI,329180,PARTNER
KOSPI,064350,KOSPI,086790,PARTNER
KOSPI,005490,KOSPI,267250,PARTNER
KOSPI,011070,NASDAQ,TSLA,SUPPLY
KOSPI,066570,KOSPI,079550,PARTNER
KOSPI,017670,NASDAQ,AMD,PARTNER
KOSPI,259960,NASDAQ,NVDA,PARTNER
KOSPI,005380,KOSPI,267260,PARTNER
KOSPI,241560,KOSPI,267270,PARTNER
