source_market,source_stock_code,target_market,target_stock_code,relationship_type_code,impact_direction,source,corr_train,n_train
KOSPI,051910,KOSPI,373220,INVEST,POSITIVE,fallback,,0
KOSPI,032830,KOSPI,029780,INVEST,POSITIVE,price,0.1878,1415
KOSPI,005490,KOSPI,047050,INVEST,POSITIVE,price,0.0981,1415
KOSPI,009540,KOSPI,329180,INVEST,POSITIVE,price,0.5281,235
KOSPI,034730,KOSPI,326030,INVEST,POSITIVE,price,0.0328,474
KOSPI,005490,KOSPI,003670,INVEST,NEGATIVE,price,-0.0568,1415
KOSPI,267250,KOSPI,443060,INVEST,POSITIVE,fallback,,0
KOSPI,034730,KOSPI,096770,INVEST,POSITIVE,price,0.1142,1415
KOSPI,006260,KOSPI,010120,INVEST,POSITIVE,price,0.3158,1415
KOSPI,034020,KOSPI,241560,INVEST,POSITIVE,price,0.1173,1182
KOSPI,035720,KOSPI,377300,INVEST,POSITIVE,price,0.6239,235
KOSPI,028260,KOSPI,207940,INVEST,POSITIVE,price,0.2356,1415
KOSPI,066570,KOSPI,011070,INVEST,POSITIVE,price,0.1688,1415
KOSPI,000880,KOSPI,009830,INVEST,POSITIVE,price,0.2512,1415
KOSPI,267250,KOSPI,267260,INVEST,NEGATIVE,price,-0.0783,1182
KOSPI,005380,KOSPI,000270,INVEST,POSITIVE,price,0.6308,1415
KOSPI,267250,KOSPI,009540,INVEST,POSITIVE,price,0.3884,1182
KOSPI,005380,KOSPI,064350,INVEST,NEGATIVE,price,-0.0596,1415
KOSPI,005380,KOSPI,307950,INVEST,POSITIVE,price,0.2266,714
KOSPI,003550,KOSPI,051910,INVEST,POSITIVE,price,0.1376,1415
KOSPI,005930,KOSPI,207940,INVEST,POSITIVE,price,0.0359,1415
KOSPI,000150,KOSPI,034020,INVEST,POSITIVE,price,0.3764,1415
KOSPI,032830,KOSPI,016360,INVEST,POSITIVE,price,0.1046,1415
KOSPI,035720,KOSPI,323410,INVEST,POSITIVE,price,0.5849,235
KOSPI,180640,KOSPI,003490,INVEST,POSITIVE,price,0.3747,1415
KOSPI,005930,KOSPI,009150,INVEST,POSITIVE,price,0.3675,1415
KOSPI,005930,KOSPI,018260,INVEST,POSITIVE,price,0.159,1415
KOSPI,005380,KOSPI,000720,INVEST,NEGATIVE,price,-0.0597,1415
KOSPI,012330,KOSPI,307950,INVEST,POSITIVE,price,0.185,714
KOSPI,005930,KOSPI,006400,INVEST,POSITIVE,price,0.1602,1415
KOSPI,028260,KOSPI,018260,INVEST,POSITIVE,price,0.2372,1415
KOSPI,000270,KOSPI,307950,INVEST,POSITIVE,price,0.2256,714
