source_market,source_stock_code,target_market,target_stock_code,relationship_type_code,window_type,score,impact_direction,confidence,evidence_count,formula_version,as_of_at
KOSPI,051910,KOSPI,373220,INVEST,30D,76.57,POSITIVE,1.0,0,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,032830,KOSPI,029780,INVEST,30D,64.455,POSITIVE,1.0,0,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,005490,KOSPI,047050,INVEST,30D,64.5575,POSITIVE,1.0,0,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,009540,KOSPI,329180,INVEST,30D,66.3325,POSITIVE,1.0,0,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,034730,KOSPI,326030,INVEST,30D,48.0,POSITIVE,1.0,0,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,005490,KOSPI,003670,INVEST,30D,59.2525,NEGATIVE,1.0,0,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,267250,KOSPI,443060,INVEST,30D,54.99,POSITIVE,1.0,0,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,034730,KOSPI,096770,INVEST,30D,39.0675,POSITIVE,1.0,0,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,006260,KOSPI,010120,INVEST,30D,36.345,POSITIVE,1.0,0,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,034020,KOSPI,241560,INVEST,30D,46.1525,POSITIVE,1.0,0,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,035720,KOSPI,377300,INVEST,30D,45.1075,POSITIVE,1.0,0,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,028260,KOSPI,207940,INVEST,30D,42.415,POSITIVE,1.0,0,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,066570,KOSPI,011070,INVEST,30D,38.975,POSITIVE,1.0,0,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,000880,KOSPI,009830,INVEST,30D,41.275,POSITIVE,1.0,0,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,267250,KOSPI,267260,INVEST,30D,37.94,NEGATIVE,1.0,0,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,005380,KOSPI,000270,INVEST,30D,42.995,POSITIVE,1.0,0,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,267250,KOSPI,009540,INVEST,30D,39.4825,POSITIVE,1.0,0,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,005380,KOSPI,064350,INVEST,30D,27.715,NEGATIVE,1.0,0,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,005380,KOSPI,307950,INVEST,30D,39.2475,POSITIVE,1.0,0,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,003550,KOSPI,051910,INVEST,30D,23.64,POSITIVE,1.0,0,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,005930,KOSPI,207940,INVEST,30D,32.2,POSITIVE,1.0,0,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,000150,KOSPI,034020,INVEST,30D,30.16,POSITIVE,1.0,0,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,032830,KOSPI,016360,INVEST,30D,29.5425,POSITIVE,1.0,0,rel-v0.2-typed,2026-09-14T00:00:00Z
