alias,ticker,name_official,market,alias_type,ambiguity,group_id,source,note
삼성전자,005930,삼성전자,KOSPI,official,safe,,rule,
SAMSUNG ELECTRONICS,005930,삼성전자,KOSPI,official_en,safe,,dart,
Samsung Electronics,005930,삼성전자,KOSPI,en_rule,safe,,rule,title case of DART name
005930,005930,삼성전자,KOSPI,ticker,ticker_only,,rule,
SK하이닉스,000660,SK하이닉스,KOSPI,official,safe,,rule,
SK hynix,000660,SK하이닉스,KOSPI,official_en,safe,,dart,
SK Hynix,000660,SK하이닉스,KOSPI,en_rule,safe,,rule,title case of DART name
000660,000660,SK하이닉스,KOSPI,ticker,ticker_only,,rule,
SK스퀘어,402340,SK스퀘어,KOSPI,official,safe,,rule,
SK Square,402340,SK스퀘어,KOSPI,official_en,safe,,dart,
402340,402340,SK스퀘어,KOSPI,ticker,ticker_only,,rule,
삼성전기,009150,삼성전기,KOSPI,official,safe,,rule,
SAMSUNG ELECTRO-MECHANICS,009150,삼성전기,KOSPI,official_en,safe,,dart,
Samsung Electro-mechanics,009150,삼성전기,KOSPI,en_rule,safe,,rule,title case of DART name
009150,009150,삼성전기,KOSPI,ticker,ticker_only,,rule,
LG에너지솔루션,373220,LG에너지솔루션,KOSPI,official,safe,,rule,
LG ENERGY SOLUTION,373220,LG에너지솔루션,KOSPI,official_en,safe,,dart,
LG Energy Solution,373220,LG에너지솔루션,KOSPI,en_rule,safe,,rule,title case of DART name
373220,373220,LG에너지솔루션,KOSPI,ticker,ticker_only,,rule,
현대차,005380,현대차,KOSPI,official,safe,,rule,
HYUNDAI MOTOR CO,005380,현대차,KOSPI,official_en,safe,,dart,
Hyundai Motor CO,005380,현대차,KOSPI,en_rule,safe,,rule,title case of DART name
005380,005380,현대차,KOSPI,ticker,ticker_only,,rule,
삼성바이오로직스,207940,삼성바이오로직스,KOSPI,official,safe,,rule,
SAMSUNG BIOLOGICS,207940,삼성바이오로직스,KOSPI,official_en,safe,,dart,
Samsung Biologics,207940,삼성바이오로직스,KOSPI,en_rule,safe,,rule,title case of DART name
207940,207940,삼성바이오로직스,KOSPI,ticker,ticker_only,,rule,
KB금융,105560,KB금융,KOSPI,official,safe,,rule,
KB Financial,105560,KB금융,KOSPI,official_en,safe,,dart,
105560,105560,KB금융,KOSPI,ticker,ticker_only,,rule,
삼성생명,032830,삼성생명,KOSPI,official,safe,,rule,
Samsung Life Insurance,032830,삼성생명,KOSPI,official_en,safe,,dart,
032830,032830,삼성생명,KOSPI,ticker,ticker_only,,rule,
삼성물산,028260,삼성물산,KOSPI,official,safe,,rule,
SAMSUNG C&T,028260,삼성물산,KOSPI,official_en,safe,,dart,
Samsung C&T,028260,삼성물산,KOSPI,en_rule,safe,,rule,title case of DART name
028260,028260,삼성물산,KOSPI,ticker,ticker_only,,rule,
한화에어로스페이스,012450,한화에어로스페이스,KOSPI,official,safe,,rule,
HANWHA AEROSPACE,012450,한화에어로스페이스,KOSPI,official_en,safe,,dart,
Hanwha Aerospace,012450,한화에어로스페이스,KOSPI,en_rule,safe,,rule,title case of DART name
012450,012450,한화에어로스페이스,KOSPI,ticker,ticker_only,,rule,
신한지주,055550,신한지주,KOSPI,official,safe,,rule,
SHINHAN FINANCIAL,055550,신한지주,KOSPI,official_en,safe,,dart,
Shinhan Financial,055550,신한지주,KOSPI,en_rule,safe,,rule,title case of DART name
055550,055550,신한지주,KOSPI,ticker,ticker_only,,rule,
두산에너빌리티,034020,두산에너빌리티,KOSPI,official,safe,,rule,
DOOSAN ENERBILITY,034020,두산에너빌리티,KOSPI,official_en,safe,,dart,
Doosan Enerbility,034020,두산에너빌리티,KOSPI,en_rule,safe,,rule,title case of DART name
034020,034020,두산에너빌리티,KOSPI,ticker,ticker_only,,rule,
기아,000270,기아,KOSPI,official,safe,,rule,
KIA,000270,기아,KOSPI,official_en,safe,,dart,
000270,000270,기아,KOSPI,ticker,ticker_only,,rule,
HD현대중공업,329180,HD현대중공업,KOSPI,official,safe,,rule,
HD HYUNDAI HEAVY INDUSTRIES,329180,HD현대중공업,KOSPI,official_en,safe,,dart,
HD Hyundai Heavy Industries,329180,HD현대중공업,KOSPI,en_rule,safe,,rule,title case of DART name
329180,329180,HD현대중공업,KOSPI,ticker,ticker_only,,rule,
삼성SDI,006400,삼성SDI,KOSPI,official,safe,,rule,
SAMSUNG SDI,006400,삼성SDI,KOSPI,official_en,safe,,dart,
Samsung SDI,006400,삼성SDI,KOSPI,en_rule,safe,,rule,title case of DART name
006400,006400,삼성SDI,KOSPI,ticker,ticker_only,,rule,
셀트리온,068270,셀트리온,KOSPI,official,safe,,rule,
Celltrion,068270,셀트리온,KOSPI,official_en,safe,,dart,
068270,068270,셀트리온,KOSPI,ticker,ticker_only,,rule,
034730,034730,SK,KOSPI,ticker,ticker_only,,rule,
현대모비스,012330,현대모비스,KOSPI,official,safe,,rule,
HYUNDAI MOBIS,012330,현대모비스,KOSPI,official_en,safe,,dart,
Hyundai Mobis,012330,현대모비스,KOSPI,en_rule,safe,,rule,title case of DART name
012330,012330,현대모비스,KOSPI,ticker,ticker_only,,rule,
하나금융지주,086790,하나금융지주,KOSPI,official,safe,,rule,
Hana Financial,086790,하나금융지주,KOSPI,official_en,safe,,dart,
086790,086790,하나금융지주,KOSPI,ticker,ticker_only,,rule,
LG전자,066570,LG전자,KOSPI,official,safe,,rule,
LG ELECTRONICS,066570,LG전자,KOSPI,official_en,safe,,dart,
LG Electronics,066570,LG전자,KOSPI,en_rule,safe,,rule,title case of DART name
066570,066570,LG전자,KOSPI,ticker,ticker_only,,rule,
NAVER,035420,NAVER,KOSPI,official,safe,,rule,
Naver,035420,NAVER,KOSPI,en_rule,safe,,rule,title case of DART name
035420,035420,NAVER,KOSPI,ticker,ticker_only,,rule,
삼성화재,000810,삼성화재,KOSPI,official,safe,,rule,
SAMSUNG FIRE & MARINE INSURANCE,000810,삼성화재,KOSPI,official_en,safe,,dart,
Samsung Fire & Marine Insurance,000810,삼성화재,KOSPI,en_rule,safe,,rule,title case of DART name
000810,000810,삼성화재,KOSPI,ticker,ticker_only,,rule,
LS ELECTRIC,010120,LS ELECTRIC,KOSPI,official,safe,,rule,
LSELECTRIC,010120,LS ELECTRIC,KOSPI,official,safe,,rule,space removed
LS Electric,010120,LS ELECTRIC,KOSPI,en_rule,safe,,rule,title case of DART name
010120,010120,LS ELECTRIC,KOSPI,ticker,ticker_only,,rule,
POSCO홀딩스,005490,POSCO홀딩스,KOSPI,official,safe,,rule,
POSCO,005490,POSCO홀딩스,KOSPI,official_en,safe,,dart,
Posco,005490,POSCO홀딩스,KOSPI,en_rule,safe,,rule,title case of DART name
005490,005490,POSCO홀딩스,KOSPI,ticker,ticker_only,,rule,
한화오션,042660,한화오션,KOSPI,official,safe,,rule,
Hanwha Ocean,042660,한화오션,KOSPI,official_en,safe,,dart,
042660,042660,한화오션,KOSPI,ticker,ticker_only,,rule,
HD현대일렉트릭,267260,HD현대일렉트릭,KOSPI,official,safe,,rule,
HD HYUNDAI ELECTRIC,267260,HD현대일렉트릭,KOSPI,official_en,safe,,dart,
HD Hyundai Electric,267260,HD현대일렉트릭,KOSPI,en_rule,safe,,rule,title case of DART name
267260,267260,HD현대일렉트릭,KOSPI,ticker,ticker_only,,rule,
고려아연,010130,고려아연,KOSPI,official,safe,,rule,
KOREA Z,010130,고려아연,KOSPI,official_en,safe,,dart,
Korea Z,010130,고려아연,KOSPI,en_rule,safe,,rule,title case of DART name
010130,010130,고려아연,KOSPI,ticker,ticker_only,,rule,
효성중공업,298040,효성중공업,KOSPI,official,safe,,rule,
Hyosung Heavy Industries,298040,효성중공업,KOSPI,official_en,safe,,dart,
298040,298040,효성중공업,KOSPI,ticker,ticker_only,,rule,
우리금융지주,316140,우리금융지주,KOSPI,official,safe,,rule,
Woori Financial,316140,우리금융지주,KOSPI,official_en,safe,,dart,
316140,316140,우리금융지주,KOSPI,ticker,ticker_only,,rule,
HD한국조선해양,009540,HD한국조선해양,KOSPI,official,safe,,rule,
HD KOREA SHIPBUILDING & OFFSHORE ENGINEERING,009540,HD한국조선해양,KOSPI,official_en,safe,,dart,
HD Korea Shipbuilding & Offshore Engineering,009540,HD한국조선해양,KOSPI,en_rule,safe,,rule,title case of DART name
009540,009540,HD한국조선해양,KOSPI,ticker,ticker_only,,rule,
SK이노베이션,096770,SK이노베이션,KOSPI,official,safe,,rule,
SK Innovation,096770,SK이노베이션,KOSPI,official_en,safe,,dart,
096770,096770,SK이노베이션,KOSPI,ticker,ticker_only,,rule,
한미반도체,042700,한미반도체,KOSPI,official,safe,,rule,
HANMI Semiconductor,042700,한미반도체,KOSPI,official_en,safe,,dart,
Hanmi Semiconductor,042700,한미반도체,KOSPI,en_rule,safe,,rule,title case of DART name
042700,042700,한미반도체,KOSPI,ticker,ticker_only,,rule,
한국전력,015760,한국전력,KOSPI,official,safe,,rule,
KOREA ELECTRIC POWER,015760,한국전력,KOSPI,official_en,safe,,dart,
Korea Electric Power,015760,한국전력,KOSPI,en_rule,safe,,rule,title case of DART name
015760,015760,한국전력,KOSPI,ticker,ticker_only,,rule,
HMM,011200,HMM,KOSPI,official,safe,,rule,
011200,011200,HMM,KOSPI,ticker,ticker_only,,rule,
SK텔레콤,017670,SK텔레콤,KOSPI,official,safe,,rule,
SK TELECOM,017670,SK텔레콤,KOSPI,official_en,safe,,dart,
SK Telecom,017670,SK텔레콤,KOSPI,en_rule,safe,,rule,title case of DART name
017670,017670,SK텔레콤,KOSPI,ticker,ticker_only,,rule,
LG화학,051910,LG화학,KOSPI,official,safe,,rule,
LG CHEM,051910,LG화학,KOSPI,official_en,safe,,dart,
LG Chem,051910,LG화학,KOSPI,en_rule,safe,,rule,title case of DART name
051910,051910,LG화학,KOSPI,ticker,ticker_only,,rule,
HD현대,267250,HD현대,KOSPI,official,safe,,rule,
HD HYUNDAI,267250,HD현대,KOSPI,official_en,safe,,dart,
HD Hyundai,267250,HD현대,KOSPI,en_rule,safe,,rule,title case of DART name
267250,267250,HD현대,KOSPI,ticker,ticker_only,,rule,
삼성중공업,010140,삼성중공업,KOSPI,official,safe,,rule,
SAMSUNG HEAVY INDUSTRIES,010140,삼성중공업,KOSPI,official_en,safe,,dart,
Samsung Heavy Industries,010140,삼성중공업,KOSPI,en_rule,safe,,rule,title case of DART name
010140,010140,삼성중공업,KOSPI,ticker,ticker_only,,rule,
미래에셋증권,006800,미래에셋증권,KOSPI,official,safe,,rule,
MIRAE ASSET SECURITIES,006800,미래에셋증권,KOSPI,official_en,safe,,dart,
Mirae Asset Securities,006800,미래에셋증권,KOSPI,en_rule,safe,,rule,title case of DART name
006800,006800,미래에셋증권,KOSPI,ticker,ticker_only,,rule,
S-Oil,010950,S-Oil,KOSPI,official,safe,,rule,
S-oil,010950,S-Oil,KOSPI,en_rule,safe,,rule,title case of DART name
010950,010950,S-Oil,KOSPI,ticker,ticker_only,,rule,
003550,003550,LG,KOSPI,ticker,ticker_only,,rule,
삼성에스디에스,018260,삼성에스디에스,KOSPI,official,safe,,rule,
