name,name_en,stock_code,market,description
삼성전자,"SAMSUNG ELECTRONICS CO,.LTD",005930,KOSPI,"통신 및 방송 장비 제조(무선) 제품, 반도체 제조(메모리) 제품, 전자부품 제조(디스플레이) 제품, 영상 및 음향기기 제조(영상기기) 제품 등"
SK하이닉스,SK hynix Inc.,000660,KOSPI,"반도체,컴퓨터,통신기기 제조,도매"
SK스퀘어,"SK Square Co., Ltd.",402340,KOSPI,지주회사
삼성전기,"SAMSUNG ELECTRO-MECHANICS CO.,LTD",009150,KOSPI,"수동소자 (MLCC, Inductor, Chip Resistor 등), 모듈(카메라모듈, 통신모듈), 반도체패키지 기판"
LG에너지솔루션,"LG ENERGY SOLUTION, LTD.",373220,KOSPI,"2차전지 (소형,ESS,자동차전지)"
현대차,HYUNDAI MOTOR CO,005380,KOSPI,"자동차(승용차,버스,트럭,특장차),자동차부품,자동차전착도료 제조,차량정비사업"
삼성바이오로직스,"SAMSUNG BIOLOGICS CO.,LTD.",207940,KOSPI,바이오의약품
KB금융,KB Financial Group Inc.,105560,KOSPI,-
삼성생명,"Samsung Life Insurance co., Ltd",032830,KOSPI,"생명보험,부동산 임대"
삼성물산,SAMSUNG C&T CORPORATION,028260,KOSPI,"도소매, 건설, 남자용 정장 제조업 등"
한화에어로스페이스,"HANWHA AEROSPACE CO., LTD.",012450,KOSPI,"항공기엔진,특수방산장비 제조/정비사업"
신한지주,"SHINHAN FINANCIAL GROUP CO.,LTD",055550,KOSPI,금융지주회사
두산에너빌리티,"DOOSAN ENERBILITY CO., LTD.",034020,KOSPI,"기관,터어빈,선박용엔진,주단조품,제강제품 제조/종합건설"
기아,KIA CORPORATION,000270,KOSPI,"승용차,중대형버스,트럭,민수특수차량,군수차량 제조,판매,정비"
HD현대중공업,"HD HYUNDAI HEAVY INDUSTRIES CO.,LTD.",329180,KOSPI,"선박, 해양플랜트 및 엔진기계 등"
