market,stock_code,alias_name,alias_type,normalized_name
KOSPI,005930,삼성전자,official,삼성전자
KOSPI,005930,SAMSUNG ELECTRONICS,official_en,samsungelectronics
KOSPI,005930,Samsung Electronics,en_rule,samsungelectronics
KOSPI,005930,005930,ticker,005930
KOSPI,000660,SK하이닉스,official,sk하이닉스
KOSPI,000660,SK hynix,official_en,skhynix
KOSPI,000660,SK Hynix,en_rule,skhynix
KOSPI,000660,000660,ticker,000660
KOSPI,402340,SK스퀘어,official,sk스퀘어
KOSPI,402340,SK Square,official_en,sksquare
KOSPI,402340,402340,ticker,402340
KOSPI,009150,삼성전기,official,삼성전기
KOSPI,009150,SAMSUNG ELECTRO-MECHANICS,official_en,samsungelectromechanics
KOSPI,009150,Samsung Electro-mechanics,en_rule,samsungelectromechanics
KOSPI,009150,009150,ticker,009150
KOSPI,373220,LG에너지솔루션,official,lg에너지솔루션
KOSPI,373220,LG ENERGY SOLUTION,official_en,lgenergysolution
KOSPI,373220,LG Energy Solution,en_rule,lgenergysolution
KOSPI,373220,373220,ticker,373220
KOSPI,005380,현대차,official,현대차
KOSPI,005380,HYUNDAI MOTOR CO,official_en,hyundaimotorco
KOSPI,005380,Hyundai Motor CO,en_rule,hyundaimotorco
KOSPI,005380,005380,ticker,005380
KOSPI,207940,삼성바이오로직스,official,삼성바이오로직스
KOSPI,207940,SAMSUNG BIOLOGICS,official_en,samsungbiologics
KOSPI,207940,Samsung Biologics,en_rule,samsungbiologics
KOSPI,207940,207940,ticker,207940
KOSPI,105560,KB금융,official,kb금융
KOSPI,105560,KB Financial,official_en,kbfinancial
KOSPI,105560,105560,ticker,105560
KOSPI,032830,삼성생명,official,삼성생명
KOSPI,032830,Samsung Life Insurance,official_en,samsunglifeinsurance
KOSPI,032830,032830,ticker,032830
KOSPI,028260,삼성물산,official,삼성물산
KOSPI,028260,SAMSUNG C&T,official_en,samsungct
KOSPI,028260,Samsung C&T,en_rule,samsungct
KOSPI,028260,028260,ticker,028260
KOSPI,012450,한화에어로스페이스,official,한화에어로스페이스
KOSPI,012450,HANWHA AEROSPACE,official_en,hanwhaaerospace
KOSPI,012450,Hanwha Aerospace,en_rule,hanwhaaerospace
KOSPI,012450,012450,ticker,012450
KOSPI,055550,신한지주,official,신한지주
KOSPI,055550,SHINHAN FINANCIAL,official_en,shinhanfinancial
KOSPI,055550,Shinhan Financial,en_rule,shinhanfinancial
KOSPI,055550,055550,ticker,055550
KOSPI,034020,두산에너빌리티,official,두산에너빌리티
KOSPI,034020,DOOSAN ENERBILITY,official_en,doosanenerbility
KOSPI,034020,Doosan Enerbility,en_rule,doosanenerbility
KOSPI,034020,034020,ticker,034020
KOSPI,000270,기아,official,기아
KOSPI,000270,KIA,official_en,kia
KOSPI,000270,000270,ticker,000270
KOSPI,329180,HD현대중공업,official,hd현대중공업
KOSPI,329180,HD HYUNDAI HEAVY INDUSTRIES,official_en,hdhyundaiheavyindustries
KOSPI,329180,HD Hyundai Heavy Industries,en_rule,hdhyundaiheavyindustries
KOSPI,329180,329180,ticker,329180
KOSPI,006400,삼성SDI,official,삼성sdi
KOSPI,006400,SAMSUNG SDI,official_en,samsungsdi
KOSPI,006400,Samsung SDI,en_rule,samsungsdi
KOSPI,006400,006400,ticker,006400
KOSPI,068270,셀트리온,official,셀트리온
KOSPI,068270,Celltrion,official_en,celltrion
KOSPI,068270,068270,ticker,068270
KOSPI,034730,034730,ticker,034730
KOSPI,012330,현대모비스,official,현대모비스
KOSPI,012330,HYUNDAI MOBIS,official_en,hyundaimobis
KOSPI,012330,Hyundai Mobis,en_rule,hyundaimobis
KOSPI,012330,012330,ticker,012330
KOSPI,086790,하나금융지주,official,하나금융지주
KOSPI,086790,Hana Financial,official_en,hanafinancial
KOSPI,086790,086790,ticker,086790
KOSPI,066570,LG전자,official,lg전자
KOSPI,066570,LG ELECTRONICS,official_en,lgelectronics
KOSPI,066570,LG Electronics,en_rule,lgelectronics
KOSPI,066570,066570,ticker,066570
KOSPI,035420,NAVER,official,naver
KOSPI,035420,Naver,en_rule,naver
KOSPI,035420,035420,ticker,035420
KOSPI,000810,삼성화재,official,삼성화재
KOSPI,000810,SAMSUNG FIRE & MARINE INSURANCE,official_en,samsungfiremarineinsurance
KOSPI,000810,Samsung Fire & Marine Insurance,en_rule,samsungfiremarineinsurance
KOSPI,000810,000810,ticker,000810
KOSPI,010120,LS ELECTRIC,official,lselectric
KOSPI,010120,LS Electric,en_rule,lselectric
KOSPI,010120,010120,ticker,010120
KOSPI,005490,POSCO홀딩스,official,posco홀딩스
