name,description,parent_name
반도체,메모리·파운드리·팹리스와 반도체 장비·소재를 포함한 반도체 밸류체인,
전자부품·하드웨어,스마트폰·PC·가전 완제품과 MLCC·기판·스토리지 등 전자부품,
소프트웨어·AI,"기업용 소프트웨어, 클라우드·AI 인프라, 보안, IT 서비스",
인터넷·플랫폼,검색·커머스·소셜·여행 예약 등 온라인 플랫폼,
미디어·게임·엔터,"게임 개발, 방송·스트리밍, 음악·엔터테인먼트",
통신,이동통신·유선통신 서비스 사업자,
자동차,"완성차와 자동차 부품·타이어, 전기차·모빌리티 서비스",
2차전지,배터리 셀과 양극재·음극재 등 전동화 소재,
조선·해운·운송,조선·해양플랜트와 해운·항공·물류,
방산·항공우주,"무기체계, 항공기·엔진, 위성·발사체",
전력·에너지설비,발전·송배전 사업자와 변압기·전선 등 전력기기,
정유·화학·에너지,"정유·석유화학과 산업용 가스, 유전 서비스",
철강·비철·소재,철강·비철금속 제련과 소재 상사,
건설·기계·산업재,건설·플랜트 시공과 건설기계·산업용 부품,
바이오·헬스케어,"제약·바이오시밀러, 신약 개발, 의료기기",
금융,은행·보험·증권·카드 등 금융업과 금융지주회사,
소비재·유통,식음료·화장품·담배와 유통·외식·호텔,
지주회사,금융 외 사업 자회사를 거느린 지주회사,
