ticker,ko_names
ADBE,어도비
AMD,AMD;에이엠디;어드밴스드마이크로디바이시스;어드밴스드 마이크로 디바이시스
ABNB,에어비앤비
ALNY,앨나일램;알나일람
GOOGL,구글;Google;Alphabet;Alphabet Inc
GOOG,
AMZN,아마존;Amazon
AEP,아메리칸일렉트릭파워;아메리칸 일렉트릭 파워
AMGN,암젠
ADI,아나로그디바이스;아날로그디바이스;아나로그 디바이스;아날로그 디바이스
AAPL,애플;Apple
AMAT,어플라이드머티어리얼즈;어플라이드 머티어리얼즈;어플라이드 머티리얼즈;어플라이드머티리얼즈
APP,앱러빈
ARM,암홀딩스;ARM홀딩스;Arm홀딩스;암 홀딩스
ASML,ASML;에이에스엠엘
ALAB,아스테라랩스;아스테라 랩스
ADSK,오토데스크
ADP,오토매틱데이터프로세싱;오토매틱 데이터 프로세싱
AXON,액손엔터프라이즈;액손 엔터프라이즈
BKR,베이커휴즈;베이커 휴즈;비케이알
BKNG,부킹홀딩스;부킹 홀딩스;부킹닷컴;Booking.com;Booking Holdings
AVGO,브로드컴
CDNS,케이던스;케이던스디자인시스템즈;케이던스 디자인 시스템즈
CTAS,신타스
CSCO,시스코;시스코시스템즈;시스코 시스템즈
CCEP,코카콜라유로퍼시픽;코카콜라 유로퍼시픽;코카콜라유로퍼시픽파트너스
CMCSA,컴캐스트
CEG,콘스텔레이션에너지;콘스텔레이션 에너지
CPRT,코파트
CRWV,코어위브
COST,코스트코
CRWD,크라우드스트라이크
CSX,CSX
DDOG,데이터독
DXCM,덱스컴
FANG,다이아몬드백에너지;다이아몬드백 에너지
DASH,도어대시
EXC,엑셀론
FAST,패스널;파스널
FER,페로비알
FTNT,포티넷
GEHC,GE헬스케어;GE 헬스케어
GILD,길리어드;길리어드사이언스;길리어드 사이언스;길리어드사이언시스;Gilead
HONA,하니웰에어로스페이스;하니웰 에어로스페이스
HON,하니웰;허니웰
IDXX,아이덱스;아이덱스래버러토리스
INTC,인텔
INTU,인튜이트
ISRG,인튜이티브서지컬;인튜이티브 서지컬
KDP,큐리그닥터페퍼;큐리그 닥터페퍼;큐리그 닥터 페퍼
KLAC,KLA;케이엘에이;KLA코퍼레이션
KHC,크래프트하인즈;크래프트 하인즈
LRCX,램리서치;램 리서치
LIN,린데
LITE,루멘텀
MAR,메리어트;메리어트인터내셔널;메리어트 인터내셔널
MRVL,마벨;마벨테크놀로지;마벨 테크놀로지
MELI,메르카도리브레;메르카도 리브레
META,메타플랫폼스;메타 플랫폼스;메타플랫폼;페이스북;Facebook
MCHP,마이크로칩테크놀로지;마이크로칩 테크놀로지
MU,마이크론;마이크론테크놀로지;마이크론 테크놀로지
MSFT,마이크로소프트;마이크로 소프트;Microsoft
MSTR,"마이크로스트래티지;마이크로스트레티지;스트래티지;Strategy Inc;Strategy, Inc."
MDLZ,몬델리즈;몬델리즈인터내셔널
MPWR,모놀리식파워시스템즈;모놀리식 파워 시스템즈
MNST,몬스터베버리지;몬스터 베버리지
NBIS,네비우스;네비우스그룹
NFLX,넷플릭스;Netflix
NVDA,엔비디아;Nvidia;NVIDIA
NXPI,NXP;NXP반도체;NXP 반도체;NXP세미컨덕터
ORLY,오라일리오토모티브;오라일리 오토모티브
ODFL,올드도미니언;올드 도미니언;올드도미니언프레이트라인
PCAR,팩카;파카
PLTR,팔란티어;팔란티어테크놀로지스;팔란티어 테크놀로지스
PANW,팰로앨토네트웍스;팰로앨토 네트웍스;팔로알토네트웍스;팔로알토 네트웍스;팰로앨토네트워크스
PAYX,페이첵스
PYPL,페이팔;PayPal
PDD,PDD홀딩스;PDD 홀딩스;핀둬둬;핀두오두오;테무;Temu;Pinduoduo
PEP,펩시코;펩시;PepsiCo
QCOM,퀄컴
REGN,리제네론;리제네론파마슈티컬스
RKLB,로켓랩;로켓 랩
ROP,로퍼테크놀로지스;로퍼 테크놀로지스
ROST,로스스토어즈;로스 스토어즈
SNDK,샌디스크
STX,시게이트;씨게이트;시게이트테크놀로지
SHOP,쇼피파이
SPCX,스페이스X;스페이스엑스;SpaceX
SBUX,스타벅스
SNPS,시놉시스
TMUS,T모바일;티모바일;T-모바일;T-Mobile
TTWO,테이크투;테이크투인터랙티브;테이크투 인터랙티브;테이크-투
TER,테라다인
TSLA,테슬라;Tesla
TXN,텍사스인스트루먼트;텍사스 인스트루먼트;텍사스인스트루먼츠
TRI,톰슨로이터;톰슨 로이터
VRTX,버텍스파마슈티컬스;버텍스 파마슈티컬스;버텍스제약
WMT,월마트
WBD,워너브라더스디스커버리;워너브라더스 디스커버리;워너브러더스디스커버리;워너브러더스 디스커버리;워너브라더스;워너브러더스;워너브로스디스커버리;워너브로스 디스커버리;워너브로스;Warner Bros
WDC,웨스턴디지털;웨스턴 디지털
WDAY,워크데이
XEL,엑셀에너지;엑셀 에너지
