alias,ticker,note
페이스북,META,SNS 플랫폼. "의원이 페이스북에 글을 올렸다"는 기업 언급이 아님 (국내 17.5만 건)
Facebook,META,
인스타그램,META,
Instagram,META,
인스타,META,
왓츠앱,META,
WhatsApp,META,
스레드,META,
유튜브,GOOGL,
YouTube,GOOGL,
안드로이드,GOOGL,
Android,GOOGL,
크롬,GOOGL,
지메일,GOOGL,
아이폰,AAPL,
iPhone,AAPL,
아이패드,AAPL,
iPad,AAPL,
맥북,AAPL,
MacBook,AAPL,
애플워치,AAPL,
에어팟,AAPL,
앱스토어,AAPL,
윈도우,MSFT,
Windows,MSFT,
엑스박스,MSFT,
Xbox,MSFT,
링크드인,MSFT,
LinkedIn,MSFT,
챗GPT,MSFT,OpenAI 제품. MS 투자사라 약한 신호로만
갤럭시,005930,
Galaxy,005930,
카카오톡,035720,
카톡,035720,
카카오T,035720,
배틀그라운드,259960,
PUBG,259960,
알렉사,AMZN,
AWS,AMZN,
Amazon Web Services,AMZN,
프라임비디오,AMZN,
Prime Video,AMZN,
넷플릭스 오리지널,NFLX,
빙,MSFT,
Bing,MSFT,
